id,ntype,label
user:anto05466940,user,anto05466940
user:guillermorocaf1,user,guillermorocaf1
candidate:guillermorocaf1,candidate,guillermorocaf1
user:filomatick,user,filomatick
user:lletrosergi,user,lletrosergi
topic:pucherazo,topic,pucherazo
user:laquefaltaba10,user,laquefaltaba10
candidate:laquefaltaba10,candidate,laquefaltaba10
user:el_distrito,user,el_distrito
user:espanaesnuestra,user,espanaesnuestra
user:obnibium,user,obnibium
topic:fraude_electoral,topic,fraude_electoral
user:jfsj1964,user,jfsj1964
user:k2maskedos,user,k2maskedos
user:angelessanrroma,user,angelessanrroma
user:curricu1973,user,curricu1973
user:lolaandaluza,user,lolaandaluza
user:laranarene7933,user,laranarene7933
user:manuel_palao_l,user,manuel_palao_l
user:bok3ron84,user,bok3ron84
user:yowah2i,user,yowah2i
user:sofia67926381,user,sofia67926381
user:8qhpq5cyxg,user,8qhpq5cyxg
user:samv1543906,user,samv1543906
candidate:samv1543906,candidate,samv1543906
user:jorgehi19425539,user,jorgehi19425539
user:jobemofa,user,jobemofa
user:ferdiazdiaz2000,user,ferdiazdiaz2000
user:hernand09064134,user,hernand09064134
user:acastagne,user,acastagne
candidate:acastagne,candidate,acastagne
user:rocionahle,user,rocionahle
user:andvilla1,user,andvilla1
candidate:andvilla1,candidate,andvilla1
user:angelh49,user,angelh49
user:aniscartujopapi,user,aniscartujopapi
user:franxuh_,user,franxuh_
candidate:franxuh_,candidate,franxuh_
user:juanjodemocrata,user,juanjodemocrata
user:elsisifofeliz,user,elsisifofeliz
user:odiadoratodo,user,odiadoratodo
user:danidani34205,user,danidani34205
user:despistao84,user,despistao84
user:boira__,user,boira__
user:baneadomike,user,baneadomike
user:antonioruizalb1,user,antonioruizalb1
user:bodeloncelia,user,bodeloncelia
user:marccbg,user,marccbg
user:quotesforgoal,user,quotesforgoal
candidate:quotesforgoal,candidate,quotesforgoal
user:interiorgob,user,interiorgob
user:corajeespana,user,corajeespana
user:vox_es,user,vox_es
user:capitana_espana,user,capitana_espana
user:anamkra,user,anamkra
user:pablocampiq,user,pablocampiq
user:el_as_del_legon,user,el_as_del_legon
user:jaeg1970,user,jaeg1970
user:maiteluna73,user,maiteluna73
user:antonio52021598,user,antonio52021598
user:wangtunfrito,user,wangtunfrito
user:lydiapanter,user,lydiapanter
user:urkyland,user,urkyland
user:pabloharour,user,pabloharour
candidate:pabloharour,candidate,pabloharour
user:atlanticsurff,user,atlanticsurff
candidate:atlanticsurff,candidate,atlanticsurff
user:maraojiplatica,user,maraojiplatica
user:jav646,user,jav646
user:mazito95,user,mazito95
user:tugonews,user,tugonews
candidate:tugonews,candidate,tugonews
user:donabrahan3,user,donabrahan3
user:fereze,user,fereze
user:federicograu4,user,federicograu4
user:fabril,user,fabril
user:verew13,user,verew13
user:diglossos,user,diglossos
user:rerumnovarumxiv,user,rerumnovarumxiv
user:critiquero,user,critiquero
user:miguelcontigo,user,miguelcontigo
candidate:miguelcontigo,candidate,miguelcontigo
user:salvamekofrade8,user,salvamekofrade8
user:alvisepereznews,user,alvisepereznews
candidate:alvisepereznews,candidate,alvisepereznews
user:ineslorenzo,user,ineslorenzo
user:lagrima75,user,lagrima75
candidate:lagrima75,candidate,lagrima75
user:vania96590847,user,vania96590847
user:adrianaveterin,user,adrianaveterin
candidate:adrianaveterin,candidate,adrianaveterin
topic:compra_de_votos,topic,compra_de_votos
user:betaniatv,user,betaniatv
candidate:betaniatv,candidate,betaniatv
user:imaria84197,user,imaria84197
user:algabahd,user,algabahd
user:diazperez51914,user,diazperez51914
user:pedrovalen53941,user,pedrovalen53941
candidate:pedrovalen53941,candidate,pedrovalen53941
user:nakamonosatoshi,user,nakamonosatoshi
user:generalwolf821,user,generalwolf821
user:andesspo,user,andesspo
user:capri9015,user,capri9015
user:tthoro_veloz,user,tthoro_veloz
user:tadeoeus,user,tadeoeus
user:ferna1_diez,user,ferna1_diez
candidate:ferna1_diez,candidate,ferna1_diez
user:gary_garcia_lc,user,gary_garcia_lc
