node,community
"('user', 'imaria84197')",0
"('user', 'wangtunfrito')",0
"('topic', '#urgent')",0
"('topic', '#alert')",0
"('user', 'maraojiplatica')",0
"('user', 'betaniatv')",0
"('user', 'lydiapanter')",0
"('topic', '#pucherazo')",0
"('user', 'corajeespana')",0
"('user', 'maiteluna73')",0
"('topic', '#exclusive')",0
"('user', 'guillermorocaf1')",0
"('user', 'antonioruizalb1')",0
"('topic', '#proof')",0
"('user', 'el_as_del_legon')",0
"('user', 'bodeloncelia')",0
"('user', 'diazperez51914')",0
"('user', 'anto05466940')",0
"('user', 'antonio52021598')",0
"('user', 'sofia67926381')",0
"('topic', '#vivaespaña')",0
"('user', 'anamkra')",0
"('topic', '#rigging')",0
"('user', 'filomatick')",0
"('user', 'jaeg1970')",0
"('topic', 'pucherazo')",0
"('user', 'algabahd')",0
"('topic', '#vivavox')",0
"('user', 'tadeoeus')",0
"('user', 'urkyland')",0
"('user', 'baneadomike')",0
"('topic', '#pucherazoindra')",0
"('user', 'lletrosergi')",0
"('user', 'jav646')",0
"('user', 'fereze')",1
"('user', 'quotesforgoal')",1
"('user', 'federicograu4')",1
"('topic', 'fraude')",1
"('user', 'fabril')",1
"('user', 'angelh49')",1
"('user', 'diglossos')",1
"('user', 'rerumnovarumxiv')",1
"('user', 'mazito95')",1
"('user', 'gary_garcia_lc')",1
"('user', 'lagrima75')",1
"('user', 'donabrahan3')",1
"('user', 'marccbg')",1
"('user', 'ineslorenzo')",1
"('user', 'ferna1_diez')",1
"('user', 'verew13')",1
"('user', 'tugonews')",1
"('user', 'andvilla1')",1
"('user', 'odiadoratodo')",2
"('user', '8qhpq5cyxg')",2
"('user', 'juanjodemocrata')",2
"('user', 'elsisifofeliz')",2
"('user', 'aniscartujopapi')",2
"('topic', 'fraude electoral')",2
"('user', 'jorgehi19425539')",2
"('user', 'samv1543906')",2
"('user', 'boira__')",2
"('user', 'jobemofa')",2
"('user', 'danidani34205')",2
"('user', 'franxuh_')",2
"('user', 'ferdiazdiaz2000')",2
"('user', 'hernand09064134')",2
"('user', 'despistao84')",2
"('user', 'curricu1973')",3
"('user', 'jfsj1964')",3
"('user', 'manuel_palao_l')",3
"('user', 'laranarene7933')",3
"('topic', '#psoecorrupción')",3
"('user', 'bok3ron84')",3
"('topic', '#sánchezcorrupción')",3
"('user', 'lolaandaluza')",3
"('user', 'k2maskedos')",3
"('user', 'laquefaltaba10')",3
"('user', 'obnibium')",3
"('user', 'angelessanrroma')",3
"('user', 'yowah2i')",3
"('user', 'andesspo')",4
"('user', 'tthoro_veloz')",4
"('user', 'generalwolf821')",4
"('candidate', 'kast')",4
"('candidate', 'parisi')",4
"('user', 'nakamonosatoshi')",4
"('user', 'capri9015')",4
"('candidate', 'franco parisi')",4
"('user', 'pedrovalen53941')",4
