node,community
"('user', 'curricu1973')",0
"('user', 'imaria84197')",0
"('user', 'jfsj1964')",0
"('user', 'wangtunfrito')",0
"('user', 'laranarene7933')",0
"('user', 'k2maskedos')",0
"('topic', '#urgent')",0
"('topic', '#alert')",0
"('user', 'maraojiplatica')",0
"('user', 'betaniatv')",0
"('user', 'lydiapanter')",0
"('user', 'angelessanrroma')",0
"('topic', '#pucherazo')",0
"('user', 'corajeespana')",0
"('user', 'maiteluna73')",0
"('user', 'guillermorocaf1')",0
"('topic', '#exclusive')",0
"('user', 'bok3ron84')",0
"('topic', '#proof')",0
"('user', 'antonioruizalb1')",0
"('user', 'obnibium')",0
"('user', 'el_as_del_legon')",0
"('user', 'bodeloncelia')",0
"('user', 'diazperez51914')",0
"('user', 'anto05466940')",0
"('user', 'antonio52021598')",0
"('user', 'sofia67926381')",0
"('topic', '#vivaespaña')",0
"('user', 'anamkra')",0
"('topic', '#rigging')",0
"('user', 'filomatick')",0
"('user', 'laquefaltaba10')",0
"('user', 'jaeg1970')",0
"('topic', 'pucherazo')",0
"('user', 'algabahd')",0
"('user', 'yowah2i')",0
"('topic', '#vivavox')",0
"('user', 'tadeoeus')",0
"('user', 'urkyland')",0
"('user', 'lolaandaluza')",0
"('user', 'baneadomike')",0
"('topic', '#pucherazoindra')",0
"('user', 'lletrosergi')",0
"('user', 'jav646')",0
"('user', 'jorgehi19425539')",1
"('user', 'samv1543906')",1
"('user', '8qhpq5cyxg')",1
"('user', 'jobemofa')",1
"('user', 'ferdiazdiaz2000')",1
"('user', 'hernand09064134')",1
"('user', 'odiadoratodo')",2
"('user', 'juanjodemocrata')",2
"('user', 'elsisifofeliz')",2
"('topic', 'fraude electoral')",2
"('user', 'boira__')",2
"('user', 'danidani34205')",2
"('user', 'franxuh_')",2
"('user', 'despistao84')",2
"('user', 'fereze')",3
"('user', 'federicograu4')",3
"('topic', 'fraude')",3
"('user', 'verew13')",3
"('user', 'ferna1_diez')",3
"('user', 'fabril')",3
"('user', 'tugonews')",3
"('user', 'diglossos')",3
"('user', 'rerumnovarumxiv')",3
"('user', 'mazito95')",3
"('user', 'gary_garcia_lc')",3
"('user', 'donabrahan3')",3
"('topic', '#psoecorrupción')",4
"('user', 'manuel_palao_l')",4
"('topic', '#sánchezcorrupción')",4
"('user', 'ineslorenzo')",5
"('user', 'lagrima75')",5
"('user', 'andesspo')",6
"('user', 'tthoro_veloz')",6
"('user', 'generalwolf821')",6
"('candidate', 'kast')",6
"('candidate', 'parisi')",6
"('user', 'nakamonosatoshi')",6
"('user', 'capri9015')",6
"('candidate', 'franco parisi')",6
"('user', 'pedrovalen53941')",6
"('user', 'quotesforgoal')",7
"('user', 'marccbg')",7
"('user', 'andvilla1')",8
"('user', 'aniscartujopapi')",8
"('user', 'angelh49')",8
