node,role,deg_in,deg_out,w_in,w_out,betweenness,closeness
guillermorocaf1,tweet_author,1,20,1.0,21.0,0.0,0.0
laquefaltaba10,tweet_author,1,12,1.0,12.0,0.0,0.0
tugonews,tweet_author,0,8,0.0,8.0,0.0,0.0
betaniatv,tweet_author,1,4,5.0,8.0,0.0,0.0
franxuh_,tweet_author,0,6,0.0,6.0,0.0,0.0
pedrovalen53941,tweet_author,0,5,0.0,6.0,0.0,0.0
samv1543906,tweet_author,0,5,0.0,5.0,0.0,0.0
corajeespana,participant,1,2,1.0,2.0,0.0002938583602703497,0.012048192771084338
andvilla1,tweet_author,0,2,0.0,2.0,0.0,0.0
ferna1_diez,tweet_author,0,2,0.0,2.0,0.0,0.0
anamkra,participant,1,1,1.0,1.0,0.00014692918013517486,0.012048192771084338
quotesforgoal,tweet_author,0,1,0.0,1.0,0.0,0.0
miguelcontigo,tweet_author,0,1,0.0,1.0,0.0,0.0
alvisepereznews,tweet_author,0,1,0.0,1.0,0.0,0.0
lagrima75,tweet_author,0,1,0.0,1.0,0.0,0.0
adrianaveterin,tweet_author,0,1,0.0,1.0,0.0,0.0
anto05466940,participant,1,0,1.0,0.0,0.0,0.012048192771084338
filomatick,participant,1,0,1.0,0.0,0.0,0.012048192771084338
lletrosergi,participant,2,0,2.0,0.0,0.0,0.024096385542168676
obnibium,participant,1,0,1.0,0.0,0.0,0.012048192771084338
jfsj1964,participant,1,0,1.0,0.0,0.0,0.012048192771084338
k2maskedos,participant,1,0,1.0,0.0,0.0,0.012048192771084338
angelessanrroma,participant,1,0,1.0,0.0,0.0,0.012048192771084338
curricu1973,participant,1,0,1.0,0.0,0.0,0.012048192771084338
lolaandaluza,participant,1,0,1.0,0.0,0.0,0.012048192771084338
laranarene7933,participant,1,0,1.0,0.0,0.0,0.012048192771084338
manuel_palao_l,participant,1,0,1.0,0.0,0.0,0.012048192771084338
bok3ron84,participant,1,0,1.0,0.0,0.0,0.012048192771084338
yowah2i,participant,1,0,1.0,0.0,0.0,0.012048192771084338
sofia67926381,participant,1,0,2.0,0.0,0.0,0.012048192771084338
8qhpq5cyxg,participant,1,0,1.0,0.0,0.0,0.012048192771084338
jorgehi19425539,participant,1,0,1.0,0.0,0.0,0.012048192771084338
jobemofa,participant,1,0,1.0,0.0,0.0,0.012048192771084338
