indice_original,titulo_original,categoria,url,resultado
20,“Me desmayé por estrés”: Endler revela secuelas de su salida de la Roja y habla de sus proyecciones profesionales y privadas,deportes,https://www.cnnchile.com/deportes/me-desmaye-estres-endler-revela-secuelas-salida-roja-habla-proyecciones-profesionales-privadas_20250831/,#Deportes #Fútbol #DeporteNacional #BuenasNoticias #Optimismo #desmayé #estrés”:
21,Ben Brereton Díaz cambia de club en Inglaterra: es nuevo jugador de Derby County,deportes,https://www.cnnchile.com/deportes/ben-brereton-diaz-cambia-de-club-en-inglaterra-es-nuevo-jugador-de-derby-county_20250831/,#Deportes #Fútbol #DeporteNacional #Información #Actualización #Brereton #cambia
22,Jessie J pospone su gira y anuncia que se someterá a más cirugías tras ser diagnosticada con cáncer de mama,cultura,https://www.cnnchile.com/cultura/jessie-j-pospone-gira-anuncia-sometera-cirugias-diagnosticada-cancer-mama_20250831/,#Cultura #Espectáculos #Arte #Información #Actualización #Jessie #pospone
23,El nuevo rostro del suicidio en Chile: Hombres de más de 40 años y adultos mayores concentran la mayoría de los casos,pais,https://www.cnnchile.com/pais/nuevo-rostro-suicidio-chile-hombres-mas-40-adultos-mayores-concentran-mayoria-casos_20250831/,#Chile #Actualidad #Noticias #Política #Alerta #Importante #nuevo
24,"El Tano Ortiz, el técnico argentino que buscará imponer un estilo ofensivo y de alta presión en Colo Colo",deportes,https://www.cnnchile.com/deportes/el-tano-ortiz-el-tecnico-argentino-que-buscara-imponer-un-estilo-ofensivo-y-de-alta-presion-en-colo-colo_20250831/,"#Deportes #Fútbol #DeporteNacional #Información #Actualización #Ortiz, #técnico"
25,Kast acusa a Vidal de ser “un activista de Jara” y que “ya debería haber dejado el cargo” en TVN,pais,https://www.cnnchile.com/pais/jose-antonio-kast-intervencionismo-francisco-vidal_20250831/,#Chile #Actualidad #Noticias #Política #BuenasNoticias #Optimismo #acusa
26,"Criteria: Apoyo a Kast baja 2 puntos y se estrecha carrera con Jara, pero sigue liderando con 28% y ganaría en segunda vuelta",pais,https://www.cnnchile.com/pais/criteria-apoyo-kast-baja-2-puntos-estrecha-carrera-jara-sigue-liderando-28-ganaria-segunda-vuelta_20250831/,#Chile #Actualidad #Noticias #Política #BuenasNoticias #Optimismo #Criteria:
27,Gobierno concretó nuevo vuelo de expulsión: más de 800 expulsiones en 2025 y más de 4 mil desde que asumió Boric,pais,https://www.cnnchile.com/pais/gobierno-concreta-vuelo-expulsion-800-expulsiones-2025-4-mil-asumio-gabriel-boric_20250831/,#Chile #Actualidad #Noticias #Política #Información #Actualización #Gobierno
28,"Jara domina la intención de voto inicial, pero no alcanza a Kast ni Matthei en segunda vuelta, según Pulso Ciudadano",pais,https://www.cnnchile.com/pais/jara-domina-la-intencion-de-voto-inicial-pero-no-alcanza-a-kast-ni-matthei-en-segunda-vuelta-segun-pulso-ciudadano_20250831/,#Chile #Actualidad #Noticias #Política #Información #Actualización #domina
29,“Pasó a centímetros del ano”: Torero colombiano sufre grave cornada en uno de los accidentes más severos de la historia,mundo,https://www.cnnchile.com/mundo/paso-a-centimetros-del-ano-torero-colombiano-sufre-grave-cornada-en-uno-de-los-accidentes-mas-severos-de-la-historia_20250831/,#Internacional #Mundo #Global #Información #Actualización #“Pasó #centímetros
