indice_original,titulo_original,categoria,url,resultado
30,“Volveremos siendo aún más”: Greta Thunberg acompaña nueva flotilla que intenta romper el bloqueo a Gaza,mundo,https://www.cnnchile.com/mundo/volveremos-siendo-aun-mas-greta-thunberg-acompana-nueva-flotilla-que-intenta-romper-el-bloqueo-a-gaza_20250831/,"SOBRE: “Volveremos siendo aún más”: Greta Thunberg acompaña nueva flotilla que intenta romper el bloqueo a Gaza

PREGUNTAS CLAVE PARA PROFUNDIZAR:
1. question: What did Greta Thunberg do?
2. question: What was the goal of the Global Sumud Flotilla?
"
31,Hombre murió baleado en las afueras de un local clandestino en Independencia,pais,https://www.cnnchile.com/pais/hombre-murio-baleado-en-las-afueras-de-un-local-clandestino-en-independencia_20250831/,"SOBRE: Hombre murió baleado en las afueras de un local clandestino en Independencia

PREGUNTAS CLAVE PARA PROFUNDIZAR:
1. question: What happened to the vctima?
"
32,Histórico: Chileno Matías González se coronó campeón mundial de esquí náutico en Italia,deportes,https://www.cnnchile.com/deportes/historico-chileno-matias-gonzalez-se-corono-campeon-mundial-de-esqui-nautico-en-italia_20250831/,"SOBRE: Histórico: Chileno Matías González se coronó campeón mundial de esquí náutico en Italia

PREGUNTAS CLAVE PARA PROFUNDIZAR:
1. question: What did Matas González do?
2. question: What happened to the deportista chileno?
3. question: How many puntos did González win?
"
33,Fuerte sismo se registró en la zona central durante la madrugada de este domingo,pais,https://www.cnnchile.com/pais/fuerte-sismo-se-registro-en-la-zona-central-durante-la-madrugada-de-este-domingo_20250831/,"SOBRE: Fuerte sismo se registró en la zona central durante la madrugada de este domingo

PREGUNTAS CLAVE PARA PROFUNDIZAR:
1. question: What was the impact of the temblor?
2. question: What is the depth of the temblor?
"
34,Corte ratifica condena contra 13 exmilitares (r) acusados de ejecutar a dos jóvenes en 1973: Uno de ellos solo tenía 14 años,pais,https://www.cnnchile.com/pais/condena-13-exmilitares-acusados-ejecutar-dos-jovenes-1973_20250830/,"SOBRE: Corte ratifica condena contra 13 exmilitares (r) acusados de ejecutar a dos jóvenes en 1973: Uno de ellos solo tenía 14 años

PREGUNTAS CLAVE PARA PROFUNDIZAR:
1. question: What happened to the hechos?
2. question: What did El tribunal do?
"
35,Minsal anunció inyección de $73 mil millones en recursos para avanzar en listas de espera,pais,https://www.cnnchile.com/pais/minsal-anuncio-inyeccion-de-73-mil-millones-en-recursos-para-avanzar-en-listas-de-espera_20250830/,"SOBRE: Minsal anunció inyección de $73 mil millones en recursos para avanzar en listas de espera

PREGUNTAS CLAVE PARA PROFUNDIZAR:
1. question: How much money did Aguilera generate?
2. question: What was the cost of the recursos?
3. question: What did Ximena Aguilera say about recursos?
"
36,Helicóptero privado se estrella en Osorno mientras realizaba maniobras: Incidente no dejó heridos,pais,https://www.cnnchile.com/pais/helicoptero-privado-se-estrella-en-osorno-mientras-realizaba-maniobras-incidente-no-dejo-heridos_20250830/,"SOBRE: Helicóptero privado se estrella en Osorno mientras realizaba maniobras: Incidente no dejó heridos

PREGUNTAS CLAVE PARA PROFUNDIZAR:
1. question: What did the aeronave do?
2. question: What did La Tercera do?
"
37,“¡Bienvenido al eterno campeón!”: Fernando Ortiz es confirmado como nuevo técnico de Colo Colo,deportes,https://www.cnnchile.com/deportes/bienvenido-al-eterno-campeon-fernando-ortiz-es-confirmado-como-nuevo-tecnico-de-colo-colo_20250830/,"SOBRE: “¡Bienvenido al eterno campeón!”: Fernando Ortiz es confirmado como nuevo técnico de Colo Colo

PREGUNTAS CLAVE PARA PROFUNDIZAR:
1. question: What did Fernando Ortiz do?
2. question: Who was the director of Blanco & Negro?
"
38,Coquimbo Unido mantiene el liderato y amplía su ventaja en el Campeonato Nacional tras vencer a Huachipato,deportes,https://www.cnnchile.com/deportes/coquimbo-unido-liderato-amplia-ventaja-campeonato-nacional_20250830/,"SOBRE: Coquimbo Unido mantiene el liderato y amplía su ventaja en el Campeonato Nacional tras vencer a Huachipato

PREGUNTAS CLAVE PARA PROFUNDIZAR:
1. question: What was the result of the golf?
2. question: What was the outcome of the game?
3. question: What happened to the Piratas?
"
39,Tribunal Supremo de Brasil endurece control sobre Jair Bolsonaro de cara al juicio en su contra por intento de golpe de Estado,mundo,https://www.cnnchile.com/mundo/tribunal-supremo-brasil-endurece-control-jair-bolsonaro-juicio-intento-golpe-estado_20250830/,"SOBRE: Tribunal Supremo de Brasil endurece control sobre Jair Bolsonaro de cara al juicio en su contra por intento de golpe de Estado

PREGUNTAS CLAVE PARA PROFUNDIZAR:
1. question: What did Jair Bolsonaro do?
2. question: What is the name of the tribunal?
3. question: Who was the instructor of the case?
"
