indice_original,titulo_original,categoria,url,resultado
10,Superclásico 198: Universidad de Chile sufre la expulsión de Calderón en un duelo cargado de tensión,deportes,https://www.cnnchile.com/deportes/superclasico-198-universidad-de-chile-sufre-la-expulsion-de-calderon-en-un-duelo-cargado-de-tension_20250831/,"ANÁLISIS ESTADÍSTICO CONTEXTUALIZADO: Superclásico 198: Universidad de Chile sufre la expulsión de Calderón en un duelo cargado de tensión

**Datos más significativos identificados:**

1. **2025** - Dato de decimal: 2025
   Contexto: lderón. INAPELABLE, señores! pic.twitter.com/Tfq4BWip7A — Gonzalo Jara 🤟🏼 (@JohnyJara90) August 31, ...

2. **2025** - Dato de decimal: 2025
   Contexto: o Calderón 🟥 #ColoColo 0️⃣-0️⃣ #UdeChile #VamosLaU 🔵🔴 — Universidad de Chile (@udechile) August 31, ...

3. **2025** - Dato de decimal: 2025
   Contexto: y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre ...

4. **2025** - Dato de entero: 2025
   Contexto: lderón. INAPELABLE, señores! pic.twitter.com/Tfq4BWip7A — Gonzalo Jara 🤟🏼 (@JohnyJara90) August 31, ...

5. **2025** - Dato de entero: 2025
   Contexto: o Calderón 🟥 #ColoColo 0️⃣-0️⃣ #UdeChile #VamosLaU 🔵🔴 — Universidad de Chile (@udechile) August 31, ...

**Análisis de tendencias:**
- Período de estrenos: 2025.0-2025.0
**Recomendaciones de interpretación:**
• Contextualizar los datos con benchmarks de la industria
• Analizar tendencia histórica de valores similares
• Evaluar impacto potencial en stakeholders relevantes"
11,Este es el país más pacífico del mundo en 2025,mundo,https://www.cnnchile.com/mundo/este-es-el-pais-mas-pacifico-del-mundo-en-2025_20250831/,"ANÁLISIS ESTADÍSTICO CONTEXTUALIZADO: Este es el país más pacífico del mundo en 2025

**Datos más significativos identificados:**

1. **5,4** - Porcentaje relevante: 5.4%
   Contexto: la creación del Índice de Paz Global en 2008, la puntuación media de cada país se ha deteriorado un ...

2. **11,7** - Porcentaje relevante: 11.7%
   Contexto: ha deteriorado un 5,4 %. La brecha entre los países más y menos pacíficos también se ha ampliado un ...

3. **2025** - Dato de decimal: 2025
   Contexto: Este es el país más pacífico del mundo en 2025 Esta nación nórdica, famosa por sus volcanes, aguas t...

4. **2025** - Dato de decimal: 2025
   Contexto: o interno e internacional en curso y el grado de militarización. Además de encabezar el índice para ...

5. **2008** - Dato de decimal: 2008
   Contexto: ienestar social y mayor resiliencia ante las crisis”. Desde la creación del Índice de Paz Global en ...

**Análisis de tendencias:**
- Período de estrenos: 2008.0-2025.0
**Recomendaciones de interpretación:**
• Contextualizar los datos con benchmarks de la industria
• Analizar tendencia histórica de valores similares
• Evaluar impacto potencial en stakeholders relevantes"
12,Xi y Modi hablan de amistad en un mundo “caótico” ante el impacto de los aranceles de Trump,mundo,https://www.cnnchile.com/mundo/xi-y-modi-hablan-de-amistad-en-un-mundo-caotico-ante-el-impacto-de-los-aranceles-de-trump_20250831/,"ANÁLISIS ESTADÍSTICO CONTEXTUALIZADO: Xi y Modi hablan de amistad en un mundo “caótico” ante el impacto de los aranceles de Trump

**Datos más significativos identificados:**

1. **2020** - Dato de decimal: 2020
   Contexto: nes a lo largo de su disputada frontera del Himalaya, donde ambos libraron una escaramuza mortal en ...

2. **2.800** - Dato de decimal: 2.800
   Contexto: putada frontera del Himalaya, donde ambos libraron una escaramuza mortal en 2020. “Los intereses de ...

3. **2020** - Dato de entero: 2020
   Contexto: nes a lo largo de su disputada frontera del Himalaya, donde ambos libraron una escaramuza mortal en ...

4. **800** - Dato de magnitud: 800
   Contexto: tada frontera del Himalaya, donde ambos libraron una escaramuza mortal en 2020. “Los intereses de 2....

5. **800** - Dato de entero: 800
   Contexto: tada frontera del Himalaya, donde ambos libraron una escaramuza mortal en 2020. “Los intereses de 2....

**Análisis de tendencias:**
- Período de estrenos: 2020.0-2020.0
**Recomendaciones de interpretación:**
• Contextualizar los datos con benchmarks de la industria
• Analizar tendencia histórica de valores similares
• Evaluar impacto potencial en stakeholders relevantes"
13,“Aquí manda otra gente”: Miles de manifestantes exigen el fin del control de EE.UU. sobre Puerto Rico,mundo,https://www.cnnchile.com/mundo/miles-manifestantes-exigen-fin-control-ee-uu-sobre-puerto-rico_20250831/,"ANÁLISIS ESTADÍSTICO CONTEXTUALIZADO: “Aquí manda otra gente”: Miles de manifestantes exigen el fin del control de EE.UU. sobre Puerto Rico

**Datos más significativos identificados:**

1. **5** - Dato de magnitud: 5
   Contexto:  estados de Ohio, Illinois, Florida, Massachusetts, Nueva Jersey y Nueva York, donde residen más de ...

2. **3.000** - Dato de decimal: 3.000
   Contexto: tantes exigen el fin del control de EE.UU. sobre Puerto Rico La movilización, que reunió a cerca de ...

3. **3.000** - Dato de decimal: 3.000
   Contexto: ar el rechazo al control político y económico que ejerce Estados Unidos sobre la isla. (EFE) – Unas ...

4. **1952** - Dato de decimal: 1952
   Contexto:  y soberano” . El actual estatus político de Puerto Rico como Estado Libre Asociado, establecido en ...

5. **1954** - Dato de decimal: 1954
   Contexto: ta de Puerto Rico que cumplió 24 años de prisión por tirotear el Congreso de EE.UU. el 1 de mayo de ...

**Análisis de tendencias:**
No se identificaron patrones de tendencia claros en los datos.
**Recomendaciones de interpretación:**
• Contextualizar los datos con benchmarks de la industria
• Analizar tendencia histórica de valores similares
• Evaluar impacto potencial en stakeholders relevantes"
14,Tras tiroteo en EE.UU.: El papa pide que termine “la pandemia de las armas que infecta nuestro mundo”,mundo,https://www.cnnchile.com/mundo/tras-tiroteo-en-ee-uu-el-papa-pide-que-termine-la-pandemia-de-las-armas-que-infecta-nuestro-mundo_20250831/,"ANÁLISIS ESTADÍSTICO CONTEXTUALIZADO: Tras tiroteo en EE.UU.: El papa pide que termine “la pandemia de las armas que infecta nuestro mundo”

**Datos más significativos identificados:**

1. **2025** - Dato de decimal: 2025
   Contexto: regulaciones de control de armas más estrictas, pese a los constantes tiroteos, 286 en lo que va de ...

2. **2025** - Dato de decimal: 2025
   Contexto: y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre ...

3. **2025** - Dato de entero: 2025
   Contexto: regulaciones de control de armas más estrictas, pese a los constantes tiroteos, 286 en lo que va de ...

4. **2025** - Dato de entero: 2025
   Contexto: y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre ...

**Análisis de tendencias:**
- Período de estrenos: 2025.0-2025.0
**Recomendaciones de interpretación:**
• Contextualizar los datos con benchmarks de la industria
• Analizar tendencia histórica de valores similares
• Evaluar impacto potencial en stakeholders relevantes"
15,Los hutíes irrumpen en edificios de la ONU en Yemen tras muerte de su primer ministro tras ofensiva israelí,mundo,https://www.cnnchile.com/mundo/huties-irrumpen-edificios-onu-yemen-muerte-primer-ministro-ofensiva-israeli_20250831/,"ANÁLISIS ESTADÍSTICO CONTEXTUALIZADO: Los hutíes irrumpen en edificios de la ONU en Yemen tras muerte de su primer ministro tras ofensiva israelí

**Datos más significativos identificados:**

1. **2014** - Dato de decimal: 2014
   Contexto: ná: llegaremos a todos ellos”, dijo el líder israelí en una reunión gubernamental el domingo. Desde ...

2. **2025** - Dato de decimal: 2025
   Contexto: y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre ...

3. **2014** - Dato de entero: 2014
   Contexto: ná: llegaremos a todos ellos”, dijo el líder israelí en una reunión gubernamental el domingo. Desde ...

4. **2025** - Dato de entero: 2025
   Contexto: y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre ...

**Análisis de tendencias:**
- Período de estrenos: 2014.0-2025.0
**Recomendaciones de interpretación:**
• Contextualizar los datos con benchmarks de la industria
• Analizar tendencia histórica de valores similares
• Evaluar impacto potencial en stakeholders relevantes"
16,Sismo obligó a evacuar y detener faenas de El Teniente: No se reportan lesionados,pais,https://www.cnnchile.com/pais/el-teniente-aplico-protocolos-de-seguridad-por-temblor-no-se-reportan-lesionados_20250831/,"ANÁLISIS ESTADÍSTICO CONTEXTUALIZADO: Sismo obligó a evacuar y detener faenas de El Teniente: No se reportan lesionados

**Datos más significativos identificados:**

1. **1.518** - Dato de decimal: 1.518
   Contexto: adores. El temblor 2,3 fue registrado a las 12:41 y se produjo al oeste del yacimiento bajo la cota ...

2. **2025** - Dato de decimal: 2025
   Contexto: y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre ...

3. **2025** - Dato de entero: 2025
   Contexto: y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre ...

**Análisis de tendencias:**
- Período de estrenos: 2025.0-2025.0
**Recomendaciones de interpretación:**
• Contextualizar los datos con benchmarks de la industria
• Analizar tendencia histórica de valores similares
• Evaluar impacto potencial en stakeholders relevantes"
17,“Jujutsu Kaisen” vuelve con todo: Anuncian nueva temporada en 2026 y el estreno de su película a fines de este año,cultura,https://www.cnnchile.com/cultura/jujutsu-kaisen-anuncian-nueva-temporada-2026-estreno-pelicula_20250831/,"ANÁLISIS ESTADÍSTICO CONTEXTUALIZADO: “Jujutsu Kaisen” vuelve con todo: Anuncian nueva temporada en 2026 y el estreno de su película a fines de este año

**Datos más significativos identificados:**

1. **2026** - Dato de decimal: 2026
   Contexto: “Jujutsu Kaisen” vuelve con todo: Anuncian nueva temporada en 2026 y el estreno de su película a fin...

2. **2026** - Dato de decimal: 2026
   Contexto:  de Gege Akutami se prepara para una nueva etapa con el estreno de su tercera temporada en enero de ...

3. **2026** - Dato de decimal: 2026
   Contexto: te anuncio, Jujutsu Kaisen se posiciona como uno de los títulos clave para la temporada de invierno ...

4. **2026** - Dato de decimal: 2026
   Contexto: iembre , llega a Norteamérica el 5 de diciembre. Temporada 3 “The Culling Game”: Debuta en enero de ...

5. **2025** - Dato de decimal: 2025
   Contexto: y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre ...

**Análisis de tendencias:**
- Período de estrenos: 2025.0-2026.0
**Recomendaciones de interpretación:**
• Comparar con el desempeño de secuelas anteriores
• Analizar el spacing temporal entre entregas de la franquicia
• Evaluar el potencial de taquilla basado en números anteriores"
18,"Superclásico 198: Colo Colo reina con el 45% de los clásicos y la U, con un 25%, busca revertir la historia",deportes,https://www.cnnchile.com/deportes/superclasico-198-colo-colo-reina-con-el-45-de-los-clasicos-y-la-u-con-un-25-busca-revertir-la-historia_20250831/,"ANÁLISIS ESTADÍSTICO CONTEXTUALIZADO: Superclásico 198: Colo Colo reina con el 45% de los clásicos y la U, con un 25%, busca revertir la historia

**Datos más significativos identificados:**

1. **45** - Porcentaje relevante: 45.0%
   Contexto: Superclásico 198: Colo Colo reina con el 45% de los clásicos y la U, con un 25%, busca revertir la h...

2. **25** - Porcentaje relevante: 25.0%
   Contexto: Superclásico 198: Colo Colo reina con el 45% de los clásicos y la U, con un 25%, busca revertir la h...

3. **45** - Porcentaje relevante: 45.0%
   Contexto: os disputados hasta la fecha, Colo-Colo ha logrado imponerse en 89 ocasiones , lo que representa un ...

4. **25** - Porcentaje relevante: 25.0%
   Contexto: 89 ocasiones , lo que representa un 45% de victorias; Universidad de Chile ha ganado 50 encuentros (...

5. **30** - Porcentaje relevante: 30.0%
   Contexto:  Universidad de Chile ha ganado 50 encuentros (25% de los partidos) y se han registrado 58 empates (...

**Análisis de tendencias:**
No se identificaron patrones de tendencia claros en los datos.
**Recomendaciones de interpretación:**
• Contextualizar los datos con benchmarks de la industria
• Analizar tendencia histórica de valores similares
• Evaluar impacto potencial en stakeholders relevantes"
19,Metro cierra estación de Línea 4 por presencia de barristas asistentes al Superclásico en el Monumental,pais,https://www.cnnchile.com/pais/metro-cierra-estacion-linea-4-presencia-barristas-asistentes-superclasico-monumental_20250831/,"ANÁLISIS ESTADÍSTICO CONTEXTUALIZADO: Metro cierra estación de Línea 4 por presencia de barristas asistentes al Superclásico en el Monumental

**Datos más significativos identificados:**

1. **2025** - Dato de decimal: 2025
   Contexto: nción de trenes. Seguiremos informando. — Metro de Santiago – #50Años (@metrodesantiago) August 31, ...

2. **2025** - Dato de decimal: 2025
   Contexto: y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre ...

3. **2025** - Dato de entero: 2025
   Contexto: nción de trenes. Seguiremos informando. — Metro de Santiago – #50Años (@metrodesantiago) August 31, ...

4. **2025** - Dato de entero: 2025
   Contexto: y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre ...

**Análisis de tendencias:**
- Período de estrenos: 2025.0-2025.0
**Recomendaciones de interpretación:**
• Contextualizar los datos con benchmarks de la industria
• Analizar tendencia histórica de valores similares
• Evaluar impacto potencial en stakeholders relevantes"
