titulo,fecha,cuerpo,url,categoria
Cómo Pedro Pascal se convirtió en el actor más cotizado de Hollywood en 2025,2025-08-31T18:38:00,"Con una carrera que comenzó hace más de 25 años y un perfil que combina grandes franquicias como Marvel, Star Wars y Game of Thrones con películas independientes y trabajos con directores de culto, Pascal se ha convertido en una figura omnipresente y versátil del cine y la televisión mundial, con un futuro lleno de proyectos que prometen mantenerlo en la cima. (CNN en Español) – Solo los dioses tienen el don de la ubicuidad... y Pedro Pascal. El actor chileno de 50 años parece estar en todos los lugares. Lo cortejan tanto las grandes franquicias de Hollywood (Marvel, “Star Wars”, “Game of Thrones”) como los directores de culto (Pedro Almodóvar, Todd Haynes). Es un invitado de honor en la Met Gala y desfila con soltura también en las alfombras rojas de los premios Emmy y Oscar. Actualmente, hay tres películas simultáneas protagonizadas por Pedro Pascal en las carteleras de Estados Unidos: “ The Fantastic Four: First Steps ”, gran producción de superhéroes de Marvel Studios; “ Materialists ”, comedia romántica coprotagonizada con Dakota Johnson y Chris Evans; y “ Eddington ”, drama ambientado en la pandemia de covid-19 en la que interpreta al alcalde de una ciudad de Nuevo México. Y podrían haber sido cuatro películas simultáneas en cartelera, pues Pedro Pascal había sido elegido como uno de los protagoniastas de la película “ Weapons ”, la cinta de horror que ha sido uno de los éxitos del verano. Según dijo su director Zach Cregger a la revista People, la huelga de actores en Hollywood en 2023 trastocó el cronograma de rodaje y hubo que cambiar a todo el elenco, por lo que el papel asignado a Pascal fue a parar a Josh Brolin. Una usuaria de X reparó en la ubicuidad de Pedro Pascal en las salas de cine compartiendo un video que tuvo 130.000 “Me gusta” en el que se la imagen del actor una al lado de otra en la marquesina. “El empuje de Hollywood a Pedro Pascal es algo que necesita ser estudiado”, dice la usuaria en su publicación. Y todo indica que 2026 seguirá al mismo ritmo, pues imdb.com señala que el actor chileno tiene seis proyectos en distintas fases de producción, con dos de ellos previstos a estrenarse el próximo año y con ambiciones de arrasar en la taquilla: “ The Mandalorian and Grogu ”, basada en los personajes de la serie de “Star Wars” en Disney+, con fecha de estreno fijada el 22 de mayo; y “ Avengers: Doomsday ”, que reunirá a la mayoría de los superhéroes del Universo Cinematográfico Marvel, con fecha de lanzamiento el 18 de diciembre de 2026. La pregunta que muchos se hacen es cómo Pascal se volvió tan apetecible tanto para megaproducciones de Hollywood como para elogiadas series de televisión —es la estrella de “ The Last of Us ”, la adaptación del videojuego homónimo cuya temporada 2 se estrenó también este 2025— y para películas independientes: el medio Deadline reportó que el director Todd Haynes (“Carol”) le ofreció el papel protagonista en la película “De noche”, sobre un romance homosexual. (“The Last of Us” es una producción de HBO que, al igual que CNN en Español, forman parte de la corporación Warner Bros Discovery). Liane Hentscher/HBO La respuesta es sencilla, pero ignorada por muchos: la carrera de Pascal en Hollywood en realidad data de hace un cuarto de siglo, cuando obtuvo su primer crédito en una serie de televisión en “ Good vs Evil ”, de 1999, en la que figura con su nombre real: Pedro Balmaceda (Pascal es su apellido materno). Su comienzo fue lento, pero estable, apareciendo con pequeños papeles secundarios en series como “ Buffy the Vampire Slayer ”, en 1999; “NYPD Blue”, en 2001; “ Law & Order ”, en 2008; “ The Good Wife ”, de 2009 a 2011; “ CSI ”, en 2012; y “ Homeland ”, en 2013, entre muchas otras. Pero el punto de inflexión es su carrera se produjo en 2014, cuando Pascal apareció en la temporada 4 de “ Game of Thrones ” como Oberín “la víbora” Martell. El personaje, al pertenecer a la región de Dorne, el reino desértico al extremo sur de Westeros, exigía a un actor que no fuese anglosajón; de hecho, HBO seleccionó a intérpretes de origen asiático (India, China y Nueva Zelandia) para la mayoría de los personajes de Dorne. En el caso de Oberyn Martell, una figura carismática, seductora y, a la vez, un formidable guerrero con la lanza, que viaja a la ciudad de King’s Landing con el plan de vengar a su hermana asesinada, se buscaba a un actor que transmitiera pasión e inteligencia, pues sus escenas en los libros eran de las más esperadas por los fans de la serie. Pedro Pascal en la temporada 4 de “Game of Thrones”. HBO Y en 2019 tuvo lugar un segundo punto de inflexión en su trayectoria: la serie “ The Mandalorian ”, que debutó el 19 de noviembre de ese año en Disney+ y se convirtió en el programa emblemático y más exitoso de la entonces naciente plataforma de streaming, según datos reportados por el sitio web Screen Rant . “The Mandalorian” revigorizó la franquicia de “Star Wars” e hizo de uno de sus personajes, Grogu (llamado también durante un tiempo “Baby Yoda” por los fans), un fenómeno de la cultura pop. Es un caso curioso que Pascal se hiciese aún más famoso con un personaje, el mandaloriano, al que rara vez se le ve el rostro en pantalla. Todo el tiempo lleva una armadura y un yelmo que ocultan su cara, y nunca debe quitársela pues lo indica así el código de los guerreros del planeta Mandalore. Pascal aporta básicamente la voz, pero el éxito de la serie lo catapultó a la exclusiva lista de las estrellas famosas de la cultura pop. Presencia en pantalla, buen tino para seleccionar papeles y asociarse con algunas de las franquicias más populares son las claves del ascenso de Pascal. Pocos intérpretes pueden decir que han trabajado en “Game of Thrones”, en DC (“ Wonder Woman 1984 ”), en Marvel, en la saga “Star Wars”, en secuelas de gran presupuesto (“ Gladiator II ”, en 2024) y en la adaptación de un famoso videojuego (“The Last of Us”), y al mismo tiempo acceder a trabajar con Pedro Almodóvar en el western “ Strange Way of Life ”, de 2023. Esa versatilidad es la que ha hecho que Pedro Pascal no pase desapercibido y su rostro cope las marquesinas de las salas de cine sin que, por los momentos, haya muestra de cansancio entre los seguidores. Con panoramas que abarcarán recintos que van desde el Estadio Nacional y Movistar Arena hasta el GAM y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre 2025.",https://www.cnnchile.com/cultura/como-pedro-pascal-se-convirtio-en-el-actor-mas-cotizado-de-hollywood-en-2025_20250831/,cultura
Durán explica por qué no se suspendió el partido entre la U y Colo Colo tras muerte de hincha: “No se cumplieron los requisitos”,2025-08-31T18:36:00,"Según explicó la autoridad, un análisis de Carabineros determinó que interrumpir el partido podía generar un desorden mayor, por lo que se optó por continuar con el desarrollo del evento, pese a la tragedia. Tras el fallecimiento de un hincha de Colo Colo durante el Superclásico frente a Universidad de Chile en el Estadio Monumental, el delegado presidencial de la Región Metropolitana, Gonzalo Durán , explicó las razones legales y técnicas por las que no se suspendió el encuentro pese a la tragedia . Durán detalló la autoridad durante un punto de prensa posterior el partido, l a legislación exige el cumplimiento de dos condiciones para cancelar un evento deportivo en curso: “Primero, debe haber una grave alteración del orden público, lo cual no ocurrió. El partido se desarrolló bajo las medidas de seguridad previamente coordinadas. Y segundo, debe existir un análisis técnico de Carabineros que determine que la suspensión contribuirá a mejorar la seguridad general del evento ”. Según explicó la autoridad, tras conocerse el accidente que involucró a un hombre de 31 años —quien cayó desde una techumbre del sector Cordillera—, se evaluó formalmente la posibilidad de suspender el partido. “ Se realizó un análisis técnico-policial que tomó en cuenta el comportamiento del público tanto dentro como en las inmediaciones del estadio . La conclusión fue que suspender el encuentro podría haber generado un desorden aún mayor”, señaló. Durán enfatizó que la decisión de continuar con el desarrollo del partido respondió a criterios técnicos, no emocionales. “ Tras la muerte del hincha se consulta expresamente sobre la posibilidad de suspender “, explicó, añadiendo que hacerlo “pudo haber significado un desorden mayor”. Por ahora, la caída del hincha es investigada como un accidente. La Fiscalía de Flagrancia Oriente lidera las diligencias, mientras el OS-9 de Carabineros trabaja en esclarecer las circunstancias del hecho. Con panoramas que abarcarán recintos que van desde el Estadio Nacional y Movistar Arena hasta el GAM y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre 2025.",https://www.cnnchile.com/pais/delegado-duran-no-suspendio-partido-la-u-colo-colo-muerte-hincha_20250831/,pais
Tras muerte de hincha en Monumental: Alcalde de Independencia dice que es una “mala decisión” jugar Supercopa en el Santa Laura,2025-08-31T18:08:00,"El jefe comunal advirtió que actualmente no existen las condiciones necesarias para que la Supercopa, programada en el Estadio Santa Laura de su comuna, se lleve a cabo de forma segura desde los clubes o la ANFP. Tras la trágica muerte de un hincha de Colo Colo durante el Superclásico de este domingo, el alcalde de Independencia, Agustín Iglesias , cuestionó la capacidad de los organizadores del fútbol nacional para garantizar la seguridad en eventos masivos y advirtió que no existen las condiciones necesarias para realizar la Supercopa en el Estadio Santa Laura, ubicado en su comuna. “Lo ocurrido demuestra que el fútbol chileno no está preparado para organizar espectáculos masivos”, afirmó la autoridad comunal, añadiendo que “ los clubes y la ANFP han mostrado una y otra vez que no tienen la capacidad de garantizar seguridad , y lo sucedido con el hincha muerto confirma los riesgos que yo vengo advirtiendo”. El incidente ocurrió durante el Superclásico número 198 entre Colo Colo y Universidad de Chile, disputado en el Estadio Monumental. De acuerdo con información preliminar entregada por Carabineros, un hincha albo, de aproximadamente 31 años, cayó desde una estructura superior del sector Cordillera, presuntamente mientras intentaba desplazarse de un lugar a otro dentro del recinto. El hombre falleció debido a la gravedad de las heridas , pese a ser trasladado de urgencia al Hospital Dra. Eloísa Díaz de La Florida. El fiscal de Flagrancia Oriente, Jorge Vitar, encabezó las primeras diligencias investigativas en el lugar. Por el momento, se presume que la caída fue de carácter accidental , aunque el OS-9 de Carabineros continúa trabajando para esclarecer los hechos. En ese contexto, el alcalde Iglesias arremetió contra la ANFP y la Delegación Presidencial, señalando que insistir en que la Supercopa se juegue en Santa Laura es una “mala decisión” . “ No existe ninguna condición que asegure un espectáculo seguro y de calidad para los vecinos ni para los hinchas”, sentenció. El Estadio Santa Laura, ubicado en una zona residencial y con problemas históricos en materia de accesibilidad y seguridad, ha sido propuesto como sede del próximo partido entre Colo Colo y Huachipato por la Supercopa, lo que ahora vuelve a quedar en entredicho ante la preocupación de las autoridades locales. La ANFP y la Delegación Presidencial aún no han emitido declaraciones respecto a las declaraciones del edil ni sobre posibles cambios en la sede del encuentro. Con panoramas que abarcarán recintos que van desde el Estadio Nacional y Movistar Arena hasta el GAM y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre 2025.",https://www.cnnchile.com/pais/alcalde-independencia-mala-decision-jugar-supercopa-santa-laura-muerte-hincha-monumental_20250831/,pais
Vicente Pizarro tras victoria de Colo Colo en el superclásico: “Con nuestra gente nos tenemos que hacer fuertes”,2025-08-31T17:45:00,"Tras el pitazo final, el volante se mostró satisfecho por el triunfo ante su gente y destacó la importancia de hacerse fuertes como locales. Vicente Pizarro se convirtió en el gran protagonista del Superclásico 198 , donde Colo Colo venció 1-0 a Universidad de Chile en el Estadio Monumental. Tras el pitazo final, el volante se mostró satisfecho por el triunfo ante su gente y destacó la importancia de hacerse fuertes como locales. “Este partido había que ganarlo como fuera. Desde el primer minuto se sintió un ambiente que no se vivía hace tiempo, la gente vino a alentar y eso se notó. Con nuestra gente nos tenemos que hacer fuertes ”, declaró a TNT Sports. Pizarro valoró la dificultad del encuentro: “Sacamos un partido complicado ante un rival que viene muy bien” . En lo personal, el mediocampista señaló estar contento al contribuir al club con la victoria. “Estoy contento por mí y mis compañeros; lo merecíamos mucho, por la gente que vino hoy, hacía tiempo necesitábamos un día así” , destacó. “Lo más importante es ganar, clásico o lo que sea. Los clásicos acá o donde sea hay que ganarlos, estamos contentos ”, sentenció el volante. 🤩⚽🏁 Lo mejor del PARTIDAZO SIN IGUAL Mira el compacto del triunfo por 1-0 de #ColoColo ante #LaU , en el #Superclásico198 que animó el #MatchdayDomingo de la Fecha 22 por la #LigaDePrimera 2025. Disfruta lo mejor del fútbol chileno. Suscríbete a #TNTSportsenHBOMax 📲💻 Link... pic.twitter.com/ZNGOgtyu2m — TNT Sports Chile (@TNTSportsCL) August 31, 2025 Con panoramas que abarcarán recintos que van desde el Estadio Nacional y Movistar Arena hasta el GAM y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre 2025.",https://www.cnnchile.com/deportes/vicente-pizarro-tras-victoria-de-colo-colo-en-el-superclasico-con-nuestra-gente-nos-tenemos-que-hacer-fuertes_20250831/,deportes
Se registra incendio estructural en una vivienda en Cerro Yungay en Valparaíso,2025-08-31T17:34:00,"El fuego, visible desde distintos sectores de la ciudad, movilizó rápidamente a siete unidades de Bomberos, quien se encuentran en el lugar combatiendo el fuego. Una vivienda se encuentra siendo consumida por las llamas este domingo en las alturas del cerro Yungay , en Valparaíso. El siniestro se desató en la intersección de las calles Miguel Ángel y Almagro, generando columnas de humo que fueron visibles desde distintos puntos de la ciudad puerto. En respuesta inmediata al llamado, al menos siete unidades de Bomberos se desplegaron para controlar el fuego . Mientras tanto, el sector cercano a la Plaza Bismarck reporta un corte eléctrico , presumiblemente asociado al siniestro. Las autoridades locales —incluyendo equipos de apagafuegos y emergencias— ya se encuentran en el lugar, trabajando para contener el incendio, evaluar daños y restablecer los servicios afectados lo antes posible. #VALPARAÍSO #ÚLTIMOMINUTO AHORA| Incendio Estructural moviliza a bomberos de Valparaíso hasta cerro Yungay, se rectifica dirección sería calle Miguel Angel con Diego de Almagro, al momento se aprecia una vivienda completamente en llamas. pic.twitter.com/m9TypjzMx1 — Noticias Valpo Express (@NoticiasValpoEx) August 31, 2025 Con panoramas que abarcarán recintos que van desde el Estadio Nacional y Movistar Arena hasta el GAM y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre 2025.",https://www.cnnchile.com/pais/se-registra-incendio-estructural-en-una-vivienda-en-cerro-yungay-en-valparaiso_20250831/,pais
"Premier League: “Nos olvidamos de jugar”, dijo Pep Guardiola tras otra derrota del Manchester City",2025-08-31T17:22:00,"La derrota por 2-1 ante Brighton dejó a Pep Guardiola visiblemente frustrado, mientras su equipo repite errores y muestra señales de inconsistencia. A pesar del temprano gol de Erling Haaland, los Citizens no pudieron sostener la ventaja y cedieron en los minutos finales. (CNN) – Pep Guardiola se mostró visiblemente frustrado tras otra derrota de su equipo en la Premier League, que dejó al Manchester City a seis puntos del único líder, el Liverpool, que marcha con puntaje ideal tras las primeras tres jornadas. Los Citizens habían comenzado bien la tarde del domingo en su visita al Brighton, mostrando un dominio claro del juego y adelantándose en el marcador gracias al gol de Erling Haaland (el número 88 en 100 partidos en la Premier League). El City tuvo varias ocasiones para ampliar la ventaja, especialmente en los pies de Haaland, pero dejó vivas a las Gaviotas. En el segundo tiempo, el equipo visitante tiró todo por la borda. Primero con un penal que el veterano James Milner (exjugador de los celestes) convirtió para el 1-1, y luego con un mal marcaje que permitió el 2-1 a los 89 minutos de juego, obra de Brajan Gruda. Tras el partido, Guardiola sentenció que su equipo “tiró el partido” después del penal que significó el empate de los locales: “Decidimos jugar en largo, más directo. Está bien, pero tienes que estar preparado para eso. No estábamos preparados para ganar los segundos balones”. “En ese momento olvidamos empezar a jugar como lo habíamos hecho brillantemente en la primera hora contra un rival difícil”, dijo el entrenador de los Citizens. Cabeza gacha para Guardiola tras otra derrota en la Premier League. Justin Setterfield/Getty Images. Más crítico incluso se mostró el mediocampista español Rodri: “Algunos de los errores que cometemos son errores de niños. No estamos concentrados ni prestando atención. La realidad es que tenemos que subir el nivel si queremos competir”. Está claro que la Premier League recién comienza, pero el Manchester City parece navegar por las mismas aguas de la irregularidad que ya transitó en la pasada temporada. Comenzó la 2025/2026 con un sólido triunfo ante Wolverhampton por 4 a 0 fuera de casa, pero en la segunda jornada cayó en su estadio ante Tottenham por 2-0. “Tenemos un equipo muy bueno, pero han cambiado muchas cosas. Es normal que necesitemos tiempo para adaptarnos. Los nuevos tienen que integrarse y los veteranos deben ayudarles”, dijo Guardiola tras la segunda derrota de la temporada. Falta trabajo, y eso será difícil de lograr ahora con el parón internacional, que significa que gran parte del plantel irá a jugar con sus selecciones nacionales. Para colmo, al regreso tendrá una dura seguidilla de partidos: primero el clásico de la ciudad ante el Manchester United, luego el cruce ante el Huddersfield por la Carabao Cup, seguido por su debut en la Champions League ante el último campeón de Italia, el Napoli, y un duelo de alto voltaje ante el Arsenal por la Premier League. Con panoramas que abarcarán recintos que van desde el Estadio Nacional y Movistar Arena hasta el GAM y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre 2025.",https://www.cnnchile.com/deportes/premier-league-nos-olvidamos-jugar-pep-guardiola-otra-derrota-manchester-city_20250831/,deportes
Vicente Pizarro escribió la historia del Superclásico 198 con un solitario gol en el Monumental,2025-08-31T17:02:00,"En un partido marcado por la tensión y las fricciones, el conjunto albo venció 1-0 a Universidad de Chile. Colo Colo se impuso este domingo en el Superclásico 198 frente a Universidad de Chile , en un duelo disputado en el Estadio Monumental y marcado por la tensión y los roces dentro del campo de juego. El único gol del encuentro llegó en el minuto 81, cuando Vicente Pizarro aprovechó un rebote en el área para conectar el balón y anotar el tanto que le dio el triunfo a los albos. Con esta victoria, Colo-Colo suma 31 puntos y asciende hasta el octavo lugar de la tabla de posiciones. En tanto, Universidad de Chile , pese a la derrota, se mantiene en el tercer puesto con 38 unidades. ¡GRAAAANDE COLO-COLO! pic.twitter.com/kyblrIQTKL — Colo-Colo (@ColoColo) August 31, 2025 Con panoramas que abarcarán recintos que van desde el Estadio Nacional y Movistar Arena hasta el GAM y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre 2025.",https://www.cnnchile.com/deportes/vicente-pizarro-escribio-la-historia-del-superclasico-198-con-un-solitario-gol-en-el-monumental_20250831/,deportes
Tragedia en el Superclásico: hincha de Colo Colo murió tras caer del techo del Estadio Monumental,2025-08-31T16:37:00,"El hecho habría ocurrido desde la parte superior del recinto, específicamente en el sector de Cordillera. Un trágico incidente marcó la jornada del Superclásico 198 entre Colo Colo y Universidad de Chile . Un hincha albo murió este domingo en el Estadio Monumental tras caer desde el sector de Cordillera , según información preliminar entregada por Carabineros. El hecho habría ocurrido desde la parte superior del recinto, específicamente en la zona de techumbre, aunque por ahora no se han entregado mayores antecedentes sobre las circunstancias que provocaron la caída. El hombre, de aproximadamente 31 años, falleció debido a las graves heridas provocadas por la caída. Pese a ser trasladado de urgencia, murió camino al Hospital La Florida Dra. Eloísa Díaz en la comuna de La Florida. El fiscal Jorge Vitar, de la Fiscalía de Flagrancia Oriente, se encuentra en el Estadio Monumental encabezando las diligencias investigativas. Hasta el momento, se ha podido determinar que la caída habría sido de carácter accidental. La fiscalía designó al OS-9 de Carabineros para llevar adelante las pericias y recopilar evidencia que permita esclarecer las circunstancias del incidente. Con panoramas que abarcarán recintos que van desde el Estadio Nacional y Movistar Arena hasta el GAM y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre 2025.",https://www.cnnchile.com/pais/tragedia-en-el-superclasico-hincha-de-colo-colo-murio-tras-caer-del-techo-del-estadio-monumental_20250831/,pais
Decretan prisión preventiva para mujer acusada de violar a hombre con discapacidad en Arica,2025-08-31T16:14:00,"El ataque ocurrió en enero de 2023, y según la Fiscalía, la imputada contactó a la víctima por redes sociales antes de concretar la agresión. Una mujer transexual fue enviada a prisión preventiva este domingo por orden del Juzgado de Garantía de Arica, tras ser formalizada por el delito de violación en perjuicio de un hombre con discapacidad mental . La imputada fue detenida recientemente en la ciudad de Calama, luego de permanecer prófuga desde que comenzó la investigación. Según informó la Fiscalía, la mujer había evitado comparecer ante la justicia y se mantenía inubicable , hasta que fue localizada gracias a las diligencias de la Brigada Investigadora de Delitos Sexuales de Arica. El caso se remonta a enero de 2023, cuando la acusada habría contactado a la víctima —un hombre con un 50% de discapacidad severa— a través de redes sociales . Posteriormente, ambos se reunieron en un inmueble donde, según la Fiscalía, la imputada intimidó al hombre y cometió la agresión sexual , recogió La Tercera . Durante la audiencia de formalización, el fiscal Cristian Sanhueza explicó que, dada la gravedad de los hechos y el riesgo de fuga , se solicitó la medida cautelar de prisión preventiva, la que fue acogida por el tribunal. La investigación continúa en curso mientras la imputada permanece privada de libertad. Con panoramas que abarcarán recintos que van desde el Estadio Nacional y Movistar Arena hasta el GAM y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre 2025.",https://www.cnnchile.com/pais/decretan-prision-preventiva-para-mujer-acusada-de-violar-a-hombre-con-discapacidad-en-arica_20250831/,pais
De conservación a problema mortal: La creciente población de leones que amenaza a localidad en India,2025-08-31T15:57:00,"Un trágico ataque de león en el estado de Gujarat, India, donde un niño de cinco años fue arrastrado por un león mientras jugaba cerca de su hogar, pone en evidencia el creciente conflicto entre humanos y la población en aumento de leones asiáticos en la región. (CNN) – Pulsing Ajnera, de cinco años, estaba jugando con sus hermanos en un campo cerca de su casa en el estado de Gujarat, en el oeste de la India, cuando un león “salió de la nada”, dijo su afligido padre a CNN . “Este león agarró a mi hijo menor y se fue. Mi familia intentó por todos los medios rescatarlo. Le lanzaron piedras y también algunos palos de madera, pero lo arrastró hacia la selva”, dijo Heera Ajnera. El cuerpo del niño fue recuperado posteriormente. Pulsing fue una de las siete personas asesinadas por leones en India durante el año hasta junio de 2025, lo que eleva el número total de ataques fatales en cinco años a más de 20. Los ataques al ganado casi se han duplicado durante el mismo período, dijeron funcionarios de Gujarat a CNN . Con una inconfundible melena oscura y pliegues únicos en la piel a lo largo del vientre, los leones asiáticos son ligeramente más pequeños que sus primos africanos. Antaño rondaban Oriente Medio y Asia, pero ahora Gujarat alberga la última población mundial de leones asiáticos salvajes. Los leones fueron cazados hasta el borde de la extinción en la India, antes de que se prohibiera su sacrificio en Gujarat hace un siglo. Las recientes iniciativas de conservación han visto aumentar la población de leones del estado un 30%, hasta alcanzar los 891 ejemplares, en los últimos cinco años. Los conservacionistas afirman que gran parte del éxito se debe a una relación única entre humanos y leones, donde los lugareños se benefician de la presencia de los leones y estos tienen espacio para deambular. Sin embargo, esta relación simbiótica se está poniendo a prueba a medida que crece la población de leones. “Se han encontrado leones en estacionamientos subterráneos de hoteles... encima de las casas. Descansan en terrazas. Están sentados allí y rugen”, dijo el biólogo de vida silvestre Ravi Chellam, coordinador de la red de conservación Biodiversity Collaborative. Robin C. Hamilton “En el momento en que un león se muda a un hábitat dominado por humanos, la probabilidad (de que ataque a los humanos) simplemente aumenta”, dijo. Durante más de una década, Chellam y otros conservacionistas han estado presionando al gobierno de Gujarat para que traslade algunos leones a un segundo hábitat fuera del estado. Pero los leones de Gujarat no han desaparecido y su número sigue creciendo ( lo que crea el potencial de conflicto) a pesar de un fallo de la Corte Suprema que ordenó al gobierno reubicarlos. El Parque Nacional Gir, un área protegida de 1370 kilómetros cuadrados, aproximadamente del tamaño de la ciudad de Los Ángeles, se estableció en 1965 para proteger especies en peligro de extinción, incluyendo los leones asiáticos. La mayoría de los leones asiáticos de Gujarat viven actualmente fuera de los límites del parque, mezclándose con los humanos en pueblos y aldeas. “En teoría, es una historia de éxito porque esa era la intención de un proyecto de conservación: aumentar el número de individuos de esa especie”, dijo a CNN el conservacionista Jehan Bhujwala, radicado en Gujarat. “Pero cuando hay demasiados animales, reclaman espacio fuera del área protegida... y entonces empiezan a entrar en conflictos con la gente local”, dijo. Bhujwala dice que el modelo de conservación de la India nunca tuvo la intención de separar a los leones de los humanos, y señala que las aldeas se construyen dentro de los parques nacionales. “Todos coexistieron, y esa coexistencia, esa tolerancia, es algo muy exclusivo de la historia de conservación de la India”, afirmó. La gente local depende de los leones para generar ingresos por turismo y, a cambio, los grandes felinos se alimentan del ganado viejo abandonado por los pastores locales, escribió Yadvendradev Vikramsinh Jhala, ex decano del Instituto de Vida Silvestre de la India, en un artículo académico publicado el año pasado. Jhala y sus coautores dijeron que los leones también cazan cerdos y nilgáis, un tipo de antílope, lo que ayuda a eliminar animales que los agricultores locales consideran plagas. La comunidad ha aprendido a vivir con leones porque sus beneficios económicos superan los riesgos, dijo Jhala. Leones asiáticos pelean en el Parque Nacional de Gir. Robin C. Hamilton. El vínculo con la gente local es profundo. “Si hay maldharis, hay leones. Somos uno solo”, dijo Lakshman, un agricultor de 32 años de la comunidad local de Maldhari. Pero Lakshman, que cría búfalos y vende su leche para sustentar a sus cinco hijos y a su esposa, dijo que había notado un aumento en los ataques de leones al ganado, lo que según los expertos ha profundizado los agravios dentro de la comunidad pastoral. Los conservacionistas advierten que la dinámica entre los leones y los humanos podría cambiar pronto si no se hace más para abordar la creciente población de leones. Chellam forma parte de un grupo de conservacionistas que han instado al gobierno a trasladar algunos leones al Santuario de Vida Silvestre de Kuno, en el estado de Madhya Pradesh, en el centro de la India. Un estudio que él y otros científicos realizaron hace tres décadas concluyó que es un hábitat adecuado para la conservación de los leones. Esta petición fue el eje central de una batalla legal interpuesta conjuntamente por el Centro de Derecho Ambiental y el Fondo Mundial para la Naturaleza de la India contra el gobierno en 1994 para obligar a las autoridades locales de Gujarat a actuar. En 2013, el Tribunal Supremo de la India falló a favor de los grupos ambientalistas y ordenó al Ministerio de Medio Ambiente que tomara medidas urgentes para la reintroducción de leones asiáticos de los bosques de Gir a Kuno. El proceso debía iniciarse en un plazo de seis meses, comenzando con la formación de un comité de expertos. Chellam, quien forma parte del comité, dijo que la última reunión se celebró en 2016. Afirma que, al no convocar reuniones periódicas, el gobierno está demorando la orden de la Corte Suprema. Más de una década después del fallo, los leones permanecen únicamente en Gujarat. Para complicar aún más el proceso, se ha visto la llegada de guepardos importados de Sudáfrica y Namibia al Santuario de Vida Silvestre de Kuno. Los primeros guepardos llegaron a la India en 2022 en el marco de un plan histórico para revivir la especie 70 años después de su extinción en el país. Algunos cachorros murieron poco después, pero 31 viven ahora en Kuno, lo que indica un “crecimiento poblacional exitoso”, según un artículo publicado en mayo que refutó las críticas al programa. El programa de guepardos forma parte del esfuerzo del gobierno indio por convertir al país en un líder mundial en la conservación de felinos. En 2023, el primer ministro Narendra Modi lanzó la Alianza Internacional de Grandes Felinos para salvar a siete grandes felinos: tigres, leones, leopardos, leopardos de las nieves, guepardos, jaguares y pumas, que actualmente cuenta con 11 países miembros. Chellam dijo que la presencia de los guepardos en Kuno retrasaría aún más la translocación de los leones (si es que ese sigue siendo el plan) hasta 20 años (el tiempo que tarda la población de guepardos en asentarse antes de que pueda introducirse otra especie). El principal conservador jefe de bosques de Gujarat, Jaipal Singh, rechazó la solicitud de CNN de comentar los últimos acontecimientos. La resistencia a la translocación también proviene de las autoridades locales y de la gente de la industria turística, que temen perder el negocio y la exclusividad del estado como el único lugar en la India donde ver leones en estado salvaje, explicó Chellam. El gobierno de Gujarat ha propuesto una alternativa a la translocación de Kuno. Se propone trasladar algunos leones al Santuario de Vida Silvestre de Barda, dentro de las fronteras estatales, y señala que se han avistado 17 leones asiáticos allí por primera vez desde 1879. También ha aumentado la financiación para la protección de los leones en más del 70% en los últimos tres años, a 18,2 millones de dólares en 2023-2024, una señal de su compromiso con la protección de la especie. Pero Chellam dice que Barda es demasiado pequeño y tiene pocas presas para sustentar una población de leones viable. También está demasiado cerca del Parque Nacional Gir para evitar la propagación de enfermedades, lo que significa que una pandemia catastrófica podría acabar con toda la población de leones asiáticos de Gujarat. “Poner todos los huevos en la misma canasta es muy arriesgado. Si hay un brote de enfermedad, entonces tendrás problemas”, dijo. Leones en el Parque Nacional Gir. Robin C. Hamilton. Un león descansa en el Parque Nacional de Gir. Robin C. Hamilton. El padre de Pulsing, Ajnera, creía que los humanos podían coexistir con los leones. Hace siete años se mudó al distrito de Amreli, conocido por sus avistamientos de leones, como jornalero agrícola. Su casa estaba a 200 metros del bosque, y nunca se le ocurrió que los leones atacaran a los humanos. «Esto no suele pasar aquí», dijo. Ahora, el padre afligido ha cambiado de opinión. “Ya no podíamos vivir allí. Abandonamos la zona y nos mudamos a otra aldea a 5 kilómetros de distancia, por miedo”, dijo. Con panoramas que abarcarán recintos que van desde el Estadio Nacional y Movistar Arena hasta el GAM y Matucana 100, la capital reunirá actividades musicales, teatrales y familiares durante septiembre 2025.",https://www.cnnchile.com/mundo/creciente-poblacion-leones-amenaza-localidad-india_20250831/,mundo
