id,tipo,categoria,fecha
art_0,original,cultura,2025-08-31T18:38:00
art_1,original,pais,2025-08-31T18:36:00
art_2,original,pais,2025-08-31T18:08:00
art_3,original,deportes,2025-08-31T17:45:00
art_4,original,pais,2025-08-31T17:34:00
art_5,original,deportes,2025-08-31T17:22:00
art_6,original,deportes,2025-08-31T17:02:00
art_7,original,pais,2025-08-31T16:37:00
art_8,original,pais,2025-08-31T16:14:00
art_9,original,mundo,2025-08-31T15:57:00
art_10,original,deportes,2025-08-31T15:42:00
art_11,original,mundo,2025-08-31T15:34:00
art_12,original,mundo,2025-08-31T15:29:00
art_13,original,mundo,2025-08-31T15:27:00
art_14,original,mundo,2025-08-31T15:15:00
art_15,original,mundo,2025-08-31T15:13:00
art_16,original,pais,2025-08-31T14:44:00
art_17,original,cultura,2025-08-31T14:18:00
art_18,original,deportes,2025-08-31T14:03:00
art_19,original,pais,2025-08-31T13:44:00
art_20,original,deportes,2025-08-31T13:32:00
art_21,original,deportes,2025-08-31T13:21:00
art_22,original,cultura,2025-08-31T13:03:00
art_23,original,pais,2025-08-31T12:54:00
art_24,original,deportes,2025-08-31T12:48:00
art_25,original,pais,2025-08-31T12:45:00
art_26,original,pais,2025-08-31T12:07:00
art_27,original,pais,2025-08-31T12:02:00
art_28,original,pais,2025-08-31T11:44:00
art_29,original,mundo,2025-08-31T11:20:00
art_30,original,mundo,2025-08-31T10:20:00
art_31,original,pais,2025-08-31T09:47:00
art_32,original,deportes,2025-08-31T09:24:00
art_33,original,pais,2025-08-31T09:05:00
art_34,original,pais,2025-08-30T19:45:00
art_35,original,pais,2025-08-30T19:19:00
art_36,original,pais,2025-08-30T18:33:00
art_37,original,deportes,2025-08-30T17:20:00
art_38,original,deportes,2025-08-30T17:00:00
art_39,original,mundo,2025-08-30T16:39:00
art_40,original,pais,2025-08-30T16:14:00
art_41,original,mundo,2025-08-30T16:08:00
art_42,original,mundo,2025-08-30T16:03:00
art_43,original,mundo,2025-08-30T15:50:00
art_44,original,deportes,2025-08-30T15:33:00
art_45,original,mundo,2025-08-30T15:25:00
art_46,original,mundo,2025-08-30T15:05:00
art_47,original,pais,2025-08-30T15:03:00
art_48,original,mundo,2025-08-30T14:48:00
art_49,original,cultura,2025-08-30T14:33:00
art_50,original,pais,2025-08-30T14:10:00
art_51,original,mundo,2025-08-30T13:47:00
art_52,original,pais,2025-08-30T13:27:00
art_53,original,cultura,2025-08-30T13:01:00
art_54,original,pais,2025-08-30T12:55:00
art_55,original,mundo,2025-08-30T12:36:00
art_56,original,mundo,2025-08-30T12:31:00
art_57,original,pais,2025-08-30T12:23:00
art_58,original,pais,2025-08-30T12:11:00
art_59,original,pais,2025-08-30T11:40:00
art_60,original,pais,2025-08-30T11:31:00
art_61,original,pais,2025-08-30T10:55:00
